market,client,brand,category,uuid
austria,Mona Naturprodukte,Mona,Food,6df976df-59ad-45dc-ae8b-bddbc238d44d
austria,Muenze Oesterreich AG,Muenze Oesterreich AG,Finance,071498c0-547c-4084-9e1e-7aecff79f8d7
austria,NOE Landesgesundheitsagentur,NOE Landesgesundheitsagentur,GOVERNMENT,9932db1e-bd09-45eb-bd78-d0900d31cd20
austria,NV Niederoesterreichische Versicherung AG,NV Niederoesterreichische Versicherung AG,Finance,bb393273-ef6d-4ecd-a7eb-9f68b5dc2177
austria,Neuburger GmbH&Co OG,Neuburger GmbH&Co OG,Food,e54bbe46-b089-4338-9a6b-e20b09e8bc03
austria,OMV Group,OMV Aktiengesellschaft,Utilities,c96b92a8-a3b9-4478-9e7d-c9315d232977
austria,OMV Group,OMV Downstream,Utilities,5ea947ad-ac5b-4a4c-9762-14d1370ecb2d
austria,Oesterreichische Nationalbank,Oesterreichische Nationalbank,Finance,34021bf0-b71c-4957-9482-b1bc7a91f262
austria,Otto group,Otto Austria Group,Fashion,67bc24ad-d995-4245-9789-fd03ae8ff061
austria,Pappas Holding,Pappas,Automotive,8abbca9d-69d8-489b-bc62-5f2e6e689010
austria,Pearle,Pearle,Retail,bdcf7690-3b20-4f6a-8441-e98239b6eba1
austria,Pelpharma Handels,Pelpharma Handels GmbH,Healthcare,08e56112-5409-4da3-aa84-0510ae4e76e7
austria,Perfetti Van Melle,Mentos,Food,ae570db4-7ec4-4bbe-9c7a-ef03e29592c1
austria,Pfizer,Pfizer,Healthcare,0e4543db-a67b-48dd-bb78-520da5eda88f
austria,Princes Foods,Princes,Food,57a785b2-f446-4cd4-b0e0-82ca067d222f
austria,Red Bull,Red Bull MOBILE,Telecoms,5b3eecf4-2e0d-4525-affe-42c7980167af
austria,Roche Diagnostics International,Roche,Healthcare,9f868849-8b8b-435d-9936-b9485ca506fb
austria,Rolf Benz AG & Co. KG,Rolf Benz,Home Appliances,08174089-b494-41ed-a805-fbb97ee89812
austria,Rupa Werbe GesmbH,Rupa Werbe GesmbH,General Services,4fa822de-7aab-4ce6-a575-9cc2671b25e6
austria,SONY,Sony Europe B.V.,Home Entertainment,41289fdf-b18f-46b7-b1e5-c67c12d5e046
austria,SONY,Sony Interactive Entertainment,Home Entertainment,03fde42f-40e8-4ee7-a991-c0e3f63e86ad
austria,SP United Vertriebs,SP Connect,Home Appliances,caab8100-e9dd-43c2-9650-c2bd7696b7fc
austria,Sanova,similasan,Healthcare,7d71f181-7aa3-4757-8104-ab354c7b55eb
austria,Selfstorage,SelfStorage Dein Lagerraum,Real Estate,e06dcd35-78cd-4381-8529-9a84e5674dae
austria,Silhouette International,Silhouette,Fashion,0e32418f-12d2-4ff4-9185-998fa20a5772
austria,Smile Insurance & IT Solutions,Smile Insurance & IT Solutions,Finance,043b8bc4-871a-42fd-8677-4636902c0e8b
austria,Smyths Toys,Smyths Toys,Retail,26ca836c-cab4-4970-acf4-b162a5fab093
austria,Spar,HERVIS,Sports,8928dda9-a9c7-4aa5-978e-021757617fad
austria,Spar,INTERSPAR,Retail,68072244-0ca1-4349-bc13-ef1d14f52e22
austria,Spar,SPAR Direkt,Retail,533f71de-096f-46b7-befc-730d77194a3d
austria,Sutterluety Handels,Sutterluety Handels,Retail,0aa19ac6-d14a-40ea-a89b-81cfd895eaf5
austria,T-Mobile,Magenta,Telecoms,ee7d62d4-1482-4882-943e-3e43985e8472
austria,Therme Wien GmbH & Co KG,Therme Wien,Travel,30f13d0b-c71b-4e36-9b54-a17039acd289
austria,UNIQA Insurance Group AG,Mavie,Healthcare,b15ef99c-46e7-4cad-9753-56788819a735
austria,UNIQA Insurance Group AG,RUDI,General Services,d1d39e77-ce91-4837-afaf-31e700cf5f0b
austria,Universal Pictures,UPI,Entertainment & media,5bef1178-dc43-418d-a323-2d8610188f5b
austria,VAV - Versicherungs-Aktiengesellschaft,VAV,Healthcare,8053034a-9e38-4d85-9bcd-f738fa96b1e8
austria,Verein Fachhochschule Technikum Wien,Verein Fachhochschule Technikum Wien,EDUCATION,f468cf13-3a89-4542-b3e5-cc62fce72e50
austria,WOJNAR Beteiligungs,WOJNAR Beteiligungs,Food,c259bd9c-d2b1-4d89-85be-450fe83db61a
austria,Wiener Arbeitnehmerinnen Foerderungsfonds (waff),Wiener Arbeitnehmerinnen Foerderungsfonds (waff),General Services,72a464ff-1e17-4c92-bb4f-ef74d81f737e
austria,Willhaben Internet Service,Willhaben.at,General Services,865a6f0e-58fd-472d-bf4c-4b2491854b86
austria,Woerwag Pharma,Woerwag Pharma,Healthcare,efa965f6-ee5d-4026-ae40-2f7d484b6e66
austria,Wolfgang Denzel Auto AG,Wolfgang Denzel Auto AG,Automotive,304d4979-3baf-4f4d-95d6-b3243496410d
austria,mfi Immobilien Marketing,mfi Immobilien Marketing,Real Estate,b9d888c2-4699-4086-ad95-83e31edf401e
austria,voestalpine,voestalpine,General Services,454aa0ad-4864-4ec6-9960-6622703981c0
