client,market
Dah Sing Bank,Hong Kong
Fairfood,Hong Kong
Fortune Pharmacal,Hong Kong
GenieBiome,Hong Kong
Gin Hung,Hong Kong
Hang Seng Bank,Hong Kong
Arcteryx,Japan
Capri Holdings,Japan
Electronic Arts,Japan
Hitachi,Japan
IKEA,Japan
Jetstar,Japan
Lacoste,Japan
Mazda,Japan
