brand,group_uid,final_status,detail,line_no
Helpage,cde27702-cb9e-473c-a52c-d4cb7221dc50,Success,"[{'uid': '0c498b52-21ab-439d-aeba-ae381c2a9db8', 'group_uid': 'cde27702-cb9e-473c-a52c-d4cb7221dc50', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': 'd9a3ebfa-2a13-4f2c-ab4e-19a9e5f87c21'}, {'uid': '47780413-119a-41b9-8488-f41ea500bc7e', 'group_uid': 'cde27702-cb9e-473c-a52c-d4cb7221dc50', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': 'd9a3ebfa-2a13-4f2c-ab4e-19a9e5f87c21'}, {'uid': 'b52542c1-889e-41f1-a113-255530da2506', 'group_uid': 'cde27702-cb9e-473c-a52c-d4cb7221dc50', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': 'd9a3ebfa-2a13-4f2c-ab4e-19a9e5f87c21'}]",426
Herbalife Nutrition,b687ab2c-81ba-4143-b6a0-c478c1c813e7,Success,"[{'uid': '7438490c-60af-440b-aeb3-fca346513f87', 'group_uid': 'b687ab2c-81ba-4143-b6a0-c478c1c813e7', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': 'bc289e4e-a22a-4e11-8eda-94ae88a7ad5c'}, {'uid': 'c25f912e-4593-4b92-99b7-b7d22c6c36bb', 'group_uid': 'b687ab2c-81ba-4143-b6a0-c478c1c813e7', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': 'bc289e4e-a22a-4e11-8eda-94ae88a7ad5c'}, {'uid': 'f515feec-0e06-43cf-8b76-b89782e41f62', 'group_uid': 'b687ab2c-81ba-4143-b6a0-c478c1c813e7', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': 'bc289e4e-a22a-4e11-8eda-94ae88a7ad5c'}]",431
Harper Collins Publishers,8f75c156-7021-4543-a253-8ecd0bd68be4,422 - Already Exists,"❌ Failed to patch roles for existing group 8f75c156-7021-4543-a253-8ecd0bd68be4: Patch roles failed: 422 - {""code"":422,""message"":""Item with (group_id, role_id, account_id)=(8f75c156-7021-4543-a253-8ecd0bd68be4, 1544916c-0ce0-4042-a8e5-6e18042c73b7, 7c86e4cd-abf4-4ed6-a7f2-d79a49947900) already exists""}",436
Hero Cycles,6f06f96f-dff9-4186-8eec-c1c58fc260c8,Success,"[{'uid': '6c88407c-c067-4111-835c-582ea6a79477', 'group_uid': '6f06f96f-dff9-4186-8eec-c1c58fc260c8', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': 'd9b02b69-4e3c-4060-8b21-2643d37eb5a7'}, {'uid': '13f403a5-4739-414c-a9e8-edb8cb561d08', 'group_uid': '6f06f96f-dff9-4186-8eec-c1c58fc260c8', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': 'd9b02b69-4e3c-4060-8b21-2643d37eb5a7'}, {'uid': 'c2f900ef-2b0b-46b9-8bb6-30c89f40dc92', 'group_uid': '6f06f96f-dff9-4186-8eec-c1c58fc260c8', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': 'd9b02b69-4e3c-4060-8b21-2643d37eb5a7'}]",441
Hero Fincorp,a6bedbdc-e494-4e62-a4bd-84ebd60d32da,Success,"[{'uid': '84d57770-0d6f-4109-982c-8ee870540693', 'group_uid': 'a6bedbdc-e494-4e62-a4bd-84ebd60d32da', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': 'a1edd747-6632-46c2-a919-309d00b85973'}, {'uid': 'd9c237cd-1457-4609-bf90-51a38316131e', 'group_uid': 'a6bedbdc-e494-4e62-a4bd-84ebd60d32da', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': 'a1edd747-6632-46c2-a919-309d00b85973'}, {'uid': '8c2bb0fa-4aeb-407a-8548-c39c933929a5', 'group_uid': 'a6bedbdc-e494-4e62-a4bd-84ebd60d32da', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': 'a1edd747-6632-46c2-a919-309d00b85973'}]",446
Hindalco Industries,ac14cf66-1ba9-45fc-9ff4-a9f4c38e4f2f,Success,"[{'uid': 'e1d6d1e0-e36e-4efa-a84d-db1575137cef', 'group_uid': 'ac14cf66-1ba9-45fc-9ff4-a9f4c38e4f2f', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': 'f69eb587-d474-48a9-98b1-ad8be97eaacf'}, {'uid': '14a75e44-d2e0-4e47-b156-d16b759698c7', 'group_uid': 'ac14cf66-1ba9-45fc-9ff4-a9f4c38e4f2f', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': 'f69eb587-d474-48a9-98b1-ad8be97eaacf'}, {'uid': 'd4cdfc4f-0f18-4fee-8d98-3921be6eba36', 'group_uid': 'ac14cf66-1ba9-45fc-9ff4-a9f4c38e4f2f', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': 'f69eb587-d474-48a9-98b1-ad8be97eaacf'}]",450
Hindustan Thompson Advertising,2197e62c-7998-4b61-a1b8-9a8a96d4a6db,Success,"[{'uid': '28a4b53d-ad0a-4743-baa0-d9a84980da0e', 'group_uid': '2197e62c-7998-4b61-a1b8-9a8a96d4a6db', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': '4f87a188-bcbc-45cc-9e7e-01328511a429'}, {'uid': 'c4cc9dbc-6419-4c75-ac4c-1df744138038', 'group_uid': '2197e62c-7998-4b61-a1b8-9a8a96d4a6db', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': '4f87a188-bcbc-45cc-9e7e-01328511a429'}, {'uid': 'a0ff30dd-3556-400f-b4d3-98e179015577', 'group_uid': '2197e62c-7998-4b61-a1b8-9a8a96d4a6db', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': '4f87a188-bcbc-45cc-9e7e-01328511a429'}]",454
Home Interior Designs E Commerce,7b775f63-aa4a-4415-a9c7-0e69a9571248,Success,"[{'uid': '1520c594-6916-4f68-9626-30c973d833d7', 'group_uid': '7b775f63-aa4a-4415-a9c7-0e69a9571248', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': '9065c031-2112-4f42-86a4-20a1ee2d09db'}, {'uid': '190c203a-0bfb-46fa-855e-c6508b3a356e', 'group_uid': '7b775f63-aa4a-4415-a9c7-0e69a9571248', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': '9065c031-2112-4f42-86a4-20a1ee2d09db'}, {'uid': 'fb66f512-d559-457f-9eca-0719fc4a96e3', 'group_uid': '7b775f63-aa4a-4415-a9c7-0e69a9571248', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': '9065c031-2112-4f42-86a4-20a1ee2d09db'}]",462
Hmd Mobile,5e18d6b9-2d5e-454a-b1fe-b746e7bb32b8,Success,"[{'uid': '90a92d39-03cb-4503-8d86-b4de31f7a692', 'group_uid': '5e18d6b9-2d5e-454a-b1fe-b746e7bb32b8', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': 'b26599ae-2efe-4948-ac01-6dcc0d5ca0b4'}, {'uid': '2c04c3c9-c9f4-4324-a3fa-1b526a928bb4', 'group_uid': '5e18d6b9-2d5e-454a-b1fe-b746e7bb32b8', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': 'b26599ae-2efe-4948-ac01-6dcc0d5ca0b4'}, {'uid': '8604cdfd-cfa5-4ad7-b5c6-621ea42fdd3e', 'group_uid': '5e18d6b9-2d5e-454a-b1fe-b746e7bb32b8', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': 'b26599ae-2efe-4948-ac01-6dcc0d5ca0b4'}]",468
Homevista Decor And Furnishings,5551434b-a2e4-42ef-85fd-374645e5b031,Success,"[{'uid': '807858d0-f990-49d3-923c-406c39dad795', 'group_uid': '5551434b-a2e4-42ef-85fd-374645e5b031', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': '31a59354-7465-4b78-89fc-6dfde9fcc81d'}, {'uid': '0473afdd-4cb9-46d0-8f33-b23120daad5e', 'group_uid': '5551434b-a2e4-42ef-85fd-374645e5b031', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': '31a59354-7465-4b78-89fc-6dfde9fcc81d'}, {'uid': '02c58684-385b-455c-8506-ad98e80754a2', 'group_uid': '5551434b-a2e4-42ef-85fd-374645e5b031', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': '31a59354-7465-4b78-89fc-6dfde9fcc81d'}]",474
HSBC,e84a83f9-36a7-442d-8479-2c07428d093e,Success,"[{'uid': '11517568-a08a-4a50-8cae-a95dc7152a52', 'group_uid': 'e84a83f9-36a7-442d-8479-2c07428d093e', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': 'd47ad808-1dc5-42a2-b781-65a3146568fb'}, {'uid': 'c89e9796-0625-4763-9bd8-7f4b838e0392', 'group_uid': 'e84a83f9-36a7-442d-8479-2c07428d093e', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': 'd47ad808-1dc5-42a2-b781-65a3146568fb'}, {'uid': 'd77af5ce-b204-4b0f-8daf-8d442cf83d6e', 'group_uid': 'e84a83f9-36a7-442d-8479-2c07428d093e', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': 'd47ad808-1dc5-42a2-b781-65a3146568fb'}]",485
IDP Education,aa4bbec2-e43b-4b38-b6db-84a9b4a6ca4c,Success,"[{'uid': '456d1203-d46b-495e-b07c-b94d50892cb1', 'group_uid': 'aa4bbec2-e43b-4b38-b6db-84a9b4a6ca4c', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': 'df2bf1f0-064f-4db0-9a24-ef3c301642ef'}, {'uid': '9840d841-47c0-46c2-b9ea-ab8eef09092f', 'group_uid': 'aa4bbec2-e43b-4b38-b6db-84a9b4a6ca4c', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': 'df2bf1f0-064f-4db0-9a24-ef3c301642ef'}, {'uid': '5ff5c3da-a168-4946-bb9b-db048b32c5cc', 'group_uid': 'aa4bbec2-e43b-4b38-b6db-84a9b4a6ca4c', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': 'df2bf1f0-064f-4db0-9a24-ef3c301642ef'}]",489
India Luxco Retail,7b67ae00-45bd-424d-b6e4-bb31ae760b39,Success,"[{'uid': '8e777fc6-da30-4655-88c5-c0b8e47c63fb', 'group_uid': '7b67ae00-45bd-424d-b6e4-bb31ae760b39', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': '643f0546-c97b-46dc-8e8b-64b496a4489c'}, {'uid': '9fee5c9e-aeab-4430-a714-2f811703f4d4', 'group_uid': '7b67ae00-45bd-424d-b6e4-bb31ae760b39', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': '643f0546-c97b-46dc-8e8b-64b496a4489c'}, {'uid': '9187f8ab-9c32-48cf-b2ed-486b4f3a5b75', 'group_uid': '7b67ae00-45bd-424d-b6e4-bb31ae760b39', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': '643f0546-c97b-46dc-8e8b-64b496a4489c'}]",493
Indiawin Sports,1887ea76-166d-46dd-a9b3-54866ed3e404,Success,"[{'uid': 'f98a7251-746d-4bae-81f0-fa59ca109912', 'group_uid': '1887ea76-166d-46dd-a9b3-54866ed3e404', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': '9f3182c2-3066-4139-bbaf-e10d479e8746'}, {'uid': 'fa178770-fc22-4cc8-ac68-6cebe0999b67', 'group_uid': '1887ea76-166d-46dd-a9b3-54866ed3e404', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': '9f3182c2-3066-4139-bbaf-e10d479e8746'}, {'uid': '50a62669-2f15-4201-b31b-44ceea9ca794', 'group_uid': '1887ea76-166d-46dd-a9b3-54866ed3e404', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': '9f3182c2-3066-4139-bbaf-e10d479e8746'}]",500
Honda Motorcycles,7266d53d-fa78-406e-8035-d97e46ca4f00,Failed,"Patch roles failed: 422 - {""code"":422,""message"":""Group 7266d53d-fa78-406e-8035-d97e46ca4f00 not available in account c3a604db-d434-4a21-a4e7-fef3ba95632c.""}",505
Indian Terrain Fashions,8091f6b6-626c-4af3-b51e-4fe249fb8cbc,Success,"[{'uid': 'f3ee70a7-470a-4d80-b4d4-b176b3f60b86', 'group_uid': '8091f6b6-626c-4af3-b51e-4fe249fb8cbc', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': 'c89bf8ca-edbe-4be6-b32d-951662f7f61c'}, {'uid': '80360e10-27db-44e5-9739-6428f1f42b78', 'group_uid': '8091f6b6-626c-4af3-b51e-4fe249fb8cbc', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': 'c89bf8ca-edbe-4be6-b32d-951662f7f61c'}, {'uid': '29ed8023-2c89-47f1-a33e-e324d9d86c68', 'group_uid': '8091f6b6-626c-4af3-b51e-4fe249fb8cbc', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': 'c89bf8ca-edbe-4be6-b32d-951662f7f61c'}]",510
Indira IVF Hospital,39e1944f-e6d7-4d35-9cdd-0a3fc6eb3711,Success,"[{'uid': 'fd8ee6c5-8104-4773-b90e-11822433654e', 'group_uid': '39e1944f-e6d7-4d35-9cdd-0a3fc6eb3711', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': 'f3be5ab5-eda4-430f-ac82-4b0aadae9d63'}, {'uid': '7eb06d82-11ba-451e-8bd3-c8245e881797', 'group_uid': '39e1944f-e6d7-4d35-9cdd-0a3fc6eb3711', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': 'f3be5ab5-eda4-430f-ac82-4b0aadae9d63'}, {'uid': '52ad2fb3-1b5f-4fdf-aa9d-f95884dfb774', 'group_uid': '39e1944f-e6d7-4d35-9cdd-0a3fc6eb3711', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': 'f3be5ab5-eda4-430f-ac82-4b0aadae9d63'}]",514
Indmoney,83d00960-4732-4189-b615-e8b04001a096,Success,"[{'uid': '0de86b32-e0b2-405d-8898-77eab1cc0c93', 'group_uid': '83d00960-4732-4189-b615-e8b04001a096', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': '1680703e-afd3-4c91-aac6-607c74b3785c'}, {'uid': '7bbe11f0-0771-4b93-9d26-fab8735eec2f', 'group_uid': '83d00960-4732-4189-b615-e8b04001a096', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': '1680703e-afd3-4c91-aac6-607c74b3785c'}, {'uid': '43ef1b57-fd82-4ad1-b3e3-2dda5b762a9b', 'group_uid': '83d00960-4732-4189-b615-e8b04001a096', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': '1680703e-afd3-4c91-aac6-607c74b3785c'}]",523
Infinity Trading Company,0c0f5297-31f2-4014-a953-b6aed49d5b0b,Success,"[{'uid': '222d53a4-de26-42e6-93e5-5339971b4a15', 'group_uid': '0c0f5297-31f2-4014-a953-b6aed49d5b0b', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': 'b972bf99-4f6e-43a7-acdf-a2ba165002d2'}, {'uid': '2302057b-27fb-439a-872c-c7aaff0f079d', 'group_uid': '0c0f5297-31f2-4014-a953-b6aed49d5b0b', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': 'b972bf99-4f6e-43a7-acdf-a2ba165002d2'}, {'uid': '96c7bacc-3e65-40d6-ad7b-43eccf99b15a', 'group_uid': '0c0f5297-31f2-4014-a953-b6aed49d5b0b', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': 'b972bf99-4f6e-43a7-acdf-a2ba165002d2'}]",529
Indkal Technologies,d895467a-e9f8-4bb1-969e-956537fdbef9,Success,"[{'uid': '2b545318-a22c-4aa6-9aef-5fa03380984b', 'group_uid': 'd895467a-e9f8-4bb1-969e-956537fdbef9', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': '20f7dd96-6f33-44e0-a1e1-be99dcf1f477'}, {'uid': '49fc68d1-678e-4268-a35c-9333b06be3d9', 'group_uid': 'd895467a-e9f8-4bb1-969e-956537fdbef9', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': '20f7dd96-6f33-44e0-a1e1-be99dcf1f477'}, {'uid': '789212a3-c99a-4525-ac33-9526f6362f80', 'group_uid': 'd895467a-e9f8-4bb1-969e-956537fdbef9', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': '20f7dd96-6f33-44e0-a1e1-be99dcf1f477'}]",533
Ingram Micro India,987a02d1-cc4f-4c23-b15d-c58102075fbf,Success,"[{'uid': '710a5887-dde6-4f86-9f5d-207fb3baca59', 'group_uid': '987a02d1-cc4f-4c23-b15d-c58102075fbf', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': 'c971e298-9a1e-497e-8c62-20bfba46c968'}, {'uid': '9e25e854-6290-46bf-8099-67418d6110a3', 'group_uid': '987a02d1-cc4f-4c23-b15d-c58102075fbf', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': 'c971e298-9a1e-497e-8c62-20bfba46c968'}, {'uid': 'e8b9ba78-ec85-4a04-b718-1bebd662abd7', 'group_uid': '987a02d1-cc4f-4c23-b15d-c58102075fbf', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': 'c971e298-9a1e-497e-8c62-20bfba46c968'}]",538
Innomotics,4324672b-0a5c-47ff-ac62-8479f5ec5a5f,Success,"[{'uid': '82be1a2f-f243-44a9-9875-d47091003bd2', 'group_uid': '4324672b-0a5c-47ff-ac62-8479f5ec5a5f', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': '3f8962b7-2032-4c18-b928-1cc963529165'}, {'uid': '6375dfc4-2c63-4823-8e8f-d9562d191986', 'group_uid': '4324672b-0a5c-47ff-ac62-8479f5ec5a5f', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': '3f8962b7-2032-4c18-b928-1cc963529165'}, {'uid': '1c516e5c-e2f8-4fee-afef-97fa2461c5e5', 'group_uid': '4324672b-0a5c-47ff-ac62-8479f5ec5a5f', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': '3f8962b7-2032-4c18-b928-1cc963529165'}]",546
Instakart Services,ef104b3f-a4b9-4c6d-8b63-efba75d9e938,Success,"[{'uid': '59cfce5f-4644-4a63-9085-6bad92f487f4', 'group_uid': 'ef104b3f-a4b9-4c6d-8b63-efba75d9e938', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': '39a9306d-6212-4533-b78e-a82152ec3b12'}, {'uid': 'c4704f77-3aca-420c-b909-3431835aa2bc', 'group_uid': 'ef104b3f-a4b9-4c6d-8b63-efba75d9e938', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': '39a9306d-6212-4533-b78e-a82152ec3b12'}, {'uid': 'abaef58c-560a-4c40-a29c-d0a93173257c', 'group_uid': 'ef104b3f-a4b9-4c6d-8b63-efba75d9e938', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': '39a9306d-6212-4533-b78e-a82152ec3b12'}]",551
International Gemmological Institute,fa6107da-5bf3-476f-8fc2-f098f099540c,Success,"[{'uid': '81c1eaa9-f7a6-4296-a143-e160be1be369', 'group_uid': 'fa6107da-5bf3-476f-8fc2-f098f099540c', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': '9ff971fa-b07d-4598-b65f-61881b69c121'}, {'uid': 'b85ab13f-ef7e-46dc-b279-bc856f1c9b1e', 'group_uid': 'fa6107da-5bf3-476f-8fc2-f098f099540c', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': '9ff971fa-b07d-4598-b65f-61881b69c121'}, {'uid': '8261eb18-1dee-45fc-ba43-fba9fe367859', 'group_uid': 'fa6107da-5bf3-476f-8fc2-f098f099540c', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': '9ff971fa-b07d-4598-b65f-61881b69c121'}]",555
Inkodop Technologies,952aa3da-9aef-4991-8eb0-a0147b3a6d17,Success,"[{'uid': 'ff39cdb6-1716-4807-89a1-f9d3d15da3cf', 'group_uid': '952aa3da-9aef-4991-8eb0-a0147b3a6d17', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': '1b0334b6-1ba1-4b77-b1dc-c22d1f4685ba'}, {'uid': '5eb423f4-1320-4afb-9896-828a2bc2ac88', 'group_uid': '952aa3da-9aef-4991-8eb0-a0147b3a6d17', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': '1b0334b6-1ba1-4b77-b1dc-c22d1f4685ba'}, {'uid': 'ee0cf76d-e323-48c2-9050-1ec6fdaa0b32', 'group_uid': '952aa3da-9aef-4991-8eb0-a0147b3a6d17', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': '1b0334b6-1ba1-4b77-b1dc-c22d1f4685ba'}]",559
Infiniti Retail,5cf576cd-85e5-4646-841d-7a7c3e16ac30,422 - Already Exists,"❌ Failed to patch roles for existing group 5cf576cd-85e5-4646-841d-7a7c3e16ac30: Patch roles failed: 422 - {""code"":422,""message"":""Item with (group_id, role_id, account_id)=(5cf576cd-85e5-4646-841d-7a7c3e16ac30, 1544916c-0ce0-4042-a8e5-6e18042c73b7, 5373ae47-f395-4674-8f0a-69cc3dbfaa99) already exists""}",564
Infiniti Retail,ced40bd7-4b94-4aee-a929-4db88249692a,Success,"[{'uid': 'a157fb56-f753-43a9-82c2-5fd120d878cb', 'group_uid': 'ced40bd7-4b94-4aee-a929-4db88249692a', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': '5373ae47-f395-4674-8f0a-69cc3dbfaa99'}, {'uid': '47f42b78-e8b7-414b-8f99-196460c67370', 'group_uid': 'ced40bd7-4b94-4aee-a929-4db88249692a', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': '5373ae47-f395-4674-8f0a-69cc3dbfaa99'}, {'uid': '5693edb1-273d-415c-80e1-aafe25ded1d7', 'group_uid': 'ced40bd7-4b94-4aee-a929-4db88249692a', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': '5373ae47-f395-4674-8f0a-69cc3dbfaa99'}]",568
International Tractors,57e7958c-c195-4675-93c9-dce9371d4f76,Success,"[{'uid': '5d930a90-98e5-47a2-83e0-b0c6c355097a', 'group_uid': '57e7958c-c195-4675-93c9-dce9371d4f76', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': '68ef6d81-9797-42c2-b4aa-bdd041fa1292'}, {'uid': 'd7553f17-3465-4fe0-a10e-cb80c75a5845', 'group_uid': '57e7958c-c195-4675-93c9-dce9371d4f76', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': '68ef6d81-9797-42c2-b4aa-bdd041fa1292'}, {'uid': 'b5ea8455-7ee4-4dfe-83a0-461327928e7d', 'group_uid': '57e7958c-c195-4675-93c9-dce9371d4f76', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': '68ef6d81-9797-42c2-b4aa-bdd041fa1292'}]",572
Indivinity Clothing Retail,ceaa82dc-5147-41bc-9fc8-bdbb380caf40,Success,"[{'uid': '337cbaed-f3e9-484b-b20c-81f93d2b29a4', 'group_uid': 'ceaa82dc-5147-41bc-9fc8-bdbb380caf40', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': '6cd5b7b8-f3bc-45a6-8676-59caf40c37c7'}, {'uid': 'f28cc354-fddb-4988-beb0-05ca31c6ee3c', 'group_uid': 'ceaa82dc-5147-41bc-9fc8-bdbb380caf40', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': '6cd5b7b8-f3bc-45a6-8676-59caf40c37c7'}, {'uid': 'e24825b1-314b-45d4-b8b5-17e13f876486', 'group_uid': 'ceaa82dc-5147-41bc-9fc8-bdbb380caf40', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': '6cd5b7b8-f3bc-45a6-8676-59caf40c37c7'}]",576
Invisalign,88144f25-f37d-4683-90a1-3425ed9bdf37,Success,"[{'uid': '86495484-2ae8-4837-994c-540d610b88f3', 'group_uid': '88144f25-f37d-4683-90a1-3425ed9bdf37', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': '4d6956b1-faa0-4cc7-9bda-b4592646125c'}, {'uid': '7e76037f-e606-4b9f-a59c-fd956c0b213b', 'group_uid': '88144f25-f37d-4683-90a1-3425ed9bdf37', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': '4d6956b1-faa0-4cc7-9bda-b4592646125c'}, {'uid': 'e02c4d8c-b0cf-40b7-8b03-c0f4169f84af', 'group_uid': '88144f25-f37d-4683-90a1-3425ed9bdf37', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': '4d6956b1-faa0-4cc7-9bda-b4592646125c'}]",583
Jaypore E-Commerce,551a03f8-1da7-4a1f-92c8-7b0cb24dc4c0,Success,"[{'uid': '6414fd1c-246e-411a-9dcb-e716d4aa6e91', 'group_uid': '551a03f8-1da7-4a1f-92c8-7b0cb24dc4c0', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': '27553eca-a5f9-420a-8d88-a76674125d30'}, {'uid': 'ffa6b80c-66ce-427f-a2c5-9371932b0329', 'group_uid': '551a03f8-1da7-4a1f-92c8-7b0cb24dc4c0', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': '27553eca-a5f9-420a-8d88-a76674125d30'}, {'uid': '961d107f-07f9-493f-8b37-46c27067005a', 'group_uid': '551a03f8-1da7-4a1f-92c8-7b0cb24dc4c0', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': '27553eca-a5f9-420a-8d88-a76674125d30'}]",591
