brand,group_uid,final_status,detail,line_no
CG Power And Industrial Solutions,937e3c49-c207-4d41-93f7-341c0dece1fb,Success,"[{'uid': 'c9c4f846-18d2-4fd6-aba4-6993184c51b3', 'group_uid': '937e3c49-c207-4d41-93f7-341c0dece1fb', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': '6acd1923-c066-49c7-901d-b2a9c87bc49d'}, {'uid': '3195f229-7a26-4263-9e35-8e2ca40b0840', 'group_uid': '937e3c49-c207-4d41-93f7-341c0dece1fb', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': '6acd1923-c066-49c7-901d-b2a9c87bc49d'}, {'uid': 'b993d39e-85ab-4450-886c-55b0840b9d46', 'group_uid': '937e3c49-c207-4d41-93f7-341c0dece1fb', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': '6acd1923-c066-49c7-901d-b2a9c87bc49d'}]",76
Cipla,0042737c-1f0a-4d7e-b04b-2c07eb66ba44,Success,"[{'uid': '26eca113-5338-49f9-a909-cea7972337f0', 'group_uid': '0042737c-1f0a-4d7e-b04b-2c07eb66ba44', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': 'f5fc0d31-d50c-4d63-be3f-f2792ef33f29'}, {'uid': '3b030d3a-45b4-4b53-a8ae-31425670588b', 'group_uid': '0042737c-1f0a-4d7e-b04b-2c07eb66ba44', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': 'f5fc0d31-d50c-4d63-be3f-f2792ef33f29'}, {'uid': '9e4dedd5-dfd2-40a7-9859-4601c2a5c376', 'group_uid': '0042737c-1f0a-4d7e-b04b-2c07eb66ba44', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': 'f5fc0d31-d50c-4d63-be3f-f2792ef33f29'}]",85
Confirm Ticket Online Solutions,e0fec828-8b3d-4d42-9107-e7057965c911,Success,"[{'uid': '7deef74e-099b-4120-bfcb-4e906b8539a9', 'group_uid': 'e0fec828-8b3d-4d42-9107-e7057965c911', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': 'a303016d-1710-4b5d-9033-b434308dfaf2'}, {'uid': 'a9ca2cc4-0dc7-406c-894c-93202cec3c11', 'group_uid': 'e0fec828-8b3d-4d42-9107-e7057965c911', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': 'a303016d-1710-4b5d-9033-b434308dfaf2'}, {'uid': '68f8e2a8-8dee-442b-93d3-3581c8eed56a', 'group_uid': 'e0fec828-8b3d-4d42-9107-e7057965c911', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': 'a303016d-1710-4b5d-9033-b434308dfaf2'}]",89
Citius Tech Healthcare Technology,8a0898da-0bbb-4657-b9dc-4a3625469c6b,Success,"[{'uid': 'd97c9898-5ef3-4d1c-b009-6ccbdba26c94', 'group_uid': '8a0898da-0bbb-4657-b9dc-4a3625469c6b', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': '8f36e37a-32b7-40a9-a840-71b5cd8c5de9'}, {'uid': 'b9c2ec5a-cd2c-492e-a349-b47286eef142', 'group_uid': '8a0898da-0bbb-4657-b9dc-4a3625469c6b', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': '8f36e37a-32b7-40a9-a840-71b5cd8c5de9'}, {'uid': '733b6484-88c8-4851-850b-6cac7ccd774c', 'group_uid': '8a0898da-0bbb-4657-b9dc-4a3625469c6b', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': '8f36e37a-32b7-40a9-a840-71b5cd8c5de9'}]",93
CESC,47106140-5061-43ad-985c-abd251ab4ee6,Success,"[{'uid': '06263be9-9a1b-4594-8435-edfc0bb7ea10', 'group_uid': '47106140-5061-43ad-985c-abd251ab4ee6', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': 'eeb0c3ae-272f-4dfc-a1cd-30843c66991e'}, {'uid': '94baea3a-7c56-402f-a7e7-1057b9654ac6', 'group_uid': '47106140-5061-43ad-985c-abd251ab4ee6', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': 'eeb0c3ae-272f-4dfc-a1cd-30843c66991e'}, {'uid': '6510443b-2896-4ba4-a88a-391187de9db1', 'group_uid': '47106140-5061-43ad-985c-abd251ab4ee6', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': 'eeb0c3ae-272f-4dfc-a1cd-30843c66991e'}]",97
Devyani International,bd758469-3884-44ad-8dca-6b67b13e023d,Success,"[{'uid': '249beeec-6b3d-440f-9ce4-d2fa0a92e39b', 'group_uid': 'bd758469-3884-44ad-8dca-6b67b13e023d', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': '1b271c17-19f7-47d3-aa6f-cac8ebf810d2'}, {'uid': '84e1129a-7a56-4dff-a318-93041a203c2b', 'group_uid': 'bd758469-3884-44ad-8dca-6b67b13e023d', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': '1b271c17-19f7-47d3-aa6f-cac8ebf810d2'}, {'uid': '07390a54-9692-4708-ace5-38a64f1f3d9e', 'group_uid': 'bd758469-3884-44ad-8dca-6b67b13e023d', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': '1b271c17-19f7-47d3-aa6f-cac8ebf810d2'}]",101
Chalo Mobility,571c8c80-a7fa-425d-98ef-26dc5b5f6bfd,Success,"[{'uid': '5824fa0a-ad23-4484-8938-fdc83a31f90e', 'group_uid': '571c8c80-a7fa-425d-98ef-26dc5b5f6bfd', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': 'b7fe7e7a-dddc-4daf-ad4d-ce615dd10db1'}, {'uid': 'b55cd756-adc0-4ec5-9442-01a09b5fe294', 'group_uid': '571c8c80-a7fa-425d-98ef-26dc5b5f6bfd', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': 'b7fe7e7a-dddc-4daf-ad4d-ce615dd10db1'}, {'uid': '9ecdeb87-31a9-4579-a111-612968977bc9', 'group_uid': '571c8c80-a7fa-425d-98ef-26dc5b5f6bfd', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': 'b7fe7e7a-dddc-4daf-ad4d-ce615dd10db1'}]",105
Cropnosys India,3870f206-c3e7-4aef-b998-4f54f1ec9e89,Success,"[{'uid': '0f702658-1ed0-4d85-9f26-7fa49b5f1ed5', 'group_uid': '3870f206-c3e7-4aef-b998-4f54f1ec9e89', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': 'e5f024cc-767a-4360-add8-c2468d9ded03'}, {'uid': 'f25757e0-3cc9-44f7-9845-8436c71779e9', 'group_uid': '3870f206-c3e7-4aef-b998-4f54f1ec9e89', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': 'e5f024cc-767a-4360-add8-c2468d9ded03'}, {'uid': 'b102978a-de7a-4a67-a91e-2930fb5e3688', 'group_uid': '3870f206-c3e7-4aef-b998-4f54f1ec9e89', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': 'e5f024cc-767a-4360-add8-c2468d9ded03'}]",115
Cultgear,86099438-071e-49c4-a4d8-eac6a81fbac5,Success,"[{'uid': 'fbafc059-07e0-458f-94ca-cb8cc3489344', 'group_uid': '86099438-071e-49c4-a4d8-eac6a81fbac5', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': 'c7f56c46-49d2-430b-82ad-e842b5fbd9a4'}, {'uid': '69fc3e50-ed12-4688-86ab-96969af3b607', 'group_uid': '86099438-071e-49c4-a4d8-eac6a81fbac5', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': 'c7f56c46-49d2-430b-82ad-e842b5fbd9a4'}, {'uid': '9c67675b-81c6-4091-bee3-c6da8af3d9cc', 'group_uid': '86099438-071e-49c4-a4d8-eac6a81fbac5', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': 'c7f56c46-49d2-430b-82ad-e842b5fbd9a4'}]",119
D B Corp,2da9f6db-8e48-4d90-bc84-d42419418d2f,Success,"[{'uid': '14013c66-8809-462a-bdca-d3bf4a64aed6', 'group_uid': '2da9f6db-8e48-4d90-bc84-d42419418d2f', 'role_uid': '1544916c-0ce0-4042-a8e5-6e18042c73b7', 'account_uid': '822ba2d9-ac41-4788-bfc2-b062472747ed'}, {'uid': '99fdf265-88c6-4f04-90ac-c7f84ba5c96f', 'group_uid': '2da9f6db-8e48-4d90-bc84-d42419418d2f', 'role_uid': '9e7c812c-c063-4613-9776-31f635bd1c03', 'account_uid': '822ba2d9-ac41-4788-bfc2-b062472747ed'}, {'uid': '62eb4c20-58f9-4412-99df-69aeb3e258dd', 'group_uid': '2da9f6db-8e48-4d90-bc84-d42419418d2f', 'role_uid': '6948d8e6-eca6-4c12-9241-a47db34db467', 'account_uid': '822ba2d9-ac41-4788-bfc2-b062472747ed'}]",125
